Keyword	Conversions	Cost / conv.	Final URL	Mobile final URL	Clicks	Impr.	CTR	Avg. CPC	Cost	Conv. rate
導入 ai	0.00	0			2	62	3.23%	95	190	0.00%
画像認識 ai 開発	0.00	0			2	8	25.00%	172	343	0.00%
開発 人工知能	0.00	0			0	3	0.00%	0	0	0.00%
Chainer 勉強	0.00	0			0	1	0.00%	0	0	0.00%
ディープ・ラーニング 研修	0.00	0			0	3	0.00%	0	0	0.00%
ニューラルネットワーク 学習	0.00	0			0	5	0.00%	0	0	0.00%
学習 TensorFlow	0.00	0			0	9	0.00%	0	0	0.00%
学習 機械学習	0.00	0			0	1	0.00%	0	0	0.00%
研修 ai	0.00	0			0	19	0.00%	0	0	0.00%
ディープ・ラーニング 学習	0.00	0			0	16	0.00%	0	0	0.00%
ai 技術 者	0.00	0			0	22	0.00%	0	0	0.00%
ai できること	0.00	0			0	251	0.00%	0	0	0.00%
python 機械学習 初心者	0.00	0			2	492	0.41%	50	100	0.00%
ai 活用事例	0.00	0			2	160	1.25%	49	98	0.00%
ai 分析 ツール	0.00	0			2	30	6.67%	399	798	0.00%
ai 参考書	0.00	0			0	2	0.00%	0	0	0.00%
ai 企業 事例	0.00	0			0	2	0.00%	0	0	0.00%
python 勉強方法	0.00	0			0	134	0.00%	0	0	0.00%
ai 研修 オンライン	0.00	0			0	1	0.00%	0	0	0.00%
ocr 読み取り 機	0.00	0			1	131	0.76%	50	50	0.00%
ai技術 勉強	0.00	0			0	5	0.00%	0	0	0.00%
ai技術 例	0.00	0			2	156	1.28%	54	108	0.00%
人工 知能 発展	0.00	0			0	4	0.00%	0	0	0.00%
python	69.00	1433			756	112,015	0.67%	131	98884	9.13%
パイソン プログラミング	0.00	0			7	3,041	0.23%	87	606	0.00%
ai 導入	2.00	2740			49	1,802	2.72%	112	5479	4.08%
python tensorflow	0.00	0			1	86	1.16%	29	29	0.00%
 +データサイエンティスト	3.00	1013			21	2,665	0.79%	145	3038	14.29%
センシング 技術	0.00	0			12	860	1.40%	57	682	0.00%
ai アプリ	29.00	812			204	6,599	3.09%	115	23554	14.22%
 +ディープラーニング	13.00	1094			100	6,908	1.45%	142	14225	13.00%
 +機械学習	6.00	1550			61	4,582	1.33%	152	9299	9.84%
ai 作り方	1.00	5931			59	1,867	3.16%	101	5931	1.69%
ai を 作る	1.00	1533			16	659	2.43%	96	1533	6.25%
 +ニューラルネットワーク	7.00	1412			60	2,393	2.51%	165	9887	11.67%
ai 無料	6.35	1627			93	5,370	1.73%	111	10339	6.83%
人工 知能 作り方	6.00	5060			282	3,107	9.08%	108	30358	2.13%
人工 知能 技術	0.00	0			3	193	1.55%	85	254	0.00%
ai オープン ソース 比較	0.00	0			2	84	2.38%	119	237	0.00%
ai 作成 方法	7.00	1885			110	1,075	10.23%	120	13196	6.36%
人工知能 簡単	2.00	107			1	6	16.67%	214	214	200.00%
ai 作り方 無料	5.00	2006			74	844	8.77%	136	10032	6.76%
ai 初心者	0.00	0			5	162	3.09%	129	646	0.00%
ai 体験	19.00	1037			108	1,889	5.72%	182	19701	17.59%
開発 ai	1.00	2960			27	1,108	2.44%	110	2960	3.70%
ai プラットホーム	2.00	1141			14	611	2.29%	163	2281	14.29%
 +Deep Learner	8.00	1364			69	4,766	1.45%	158	10913	11.59%
 +Neural Network	7.00	859			32	1,501	2.13%	188	6016	21.88%
ai アプリ 作り方	5.00	458			25	477	5.24%	92	2289	20.00%
ai 作る アプリ	3.00	1706			39	556	7.01%	131	5118	7.69%
自作 ai	0.00	0			15	263	5.70%	119	1781	0.00%
ai 分析 ツール 無料	0.00	0			1	144	0.69%	211	211	0.00%
luminar ai	0.00	0			12	1,326	0.90%	117	1404	0.00%
ai 作成 無料	2.50	2733			44	603	7.30%	155	6832	5.68%
aiができること	0.00	0			7	395	1.77%	51	355	0.00%
人工 知能 画像	0.00	0			82	1,308	6.27%	51	4179	0.00%
ai	595.34	1214			7,845	1,420,358	0.55%	92	722856	7.59%
deep learning	14.00	1434			108	5,214	2.07%	186	20080	12.96%
 +python	142.27	1507			1,541	186,196	0.83%	139	214373	9.23%
ディープラーニング	8.00	1482			92	5,015	1.83%	129	11855	8.70%
プログラミング 言語	2.00	1985			32	5,145	0.62%	124	3970	6.25%
ニューラルネットワーク	3.00	1438			25	1,235	2.02%	173	4314	12.00%
プログラム 言語	0.00	0			31	4,990	0.62%	63	1964	0.00%
 +deep learning	11.00	1135			61	3,523	1.73%	205	12481	18.03%
ai プログラム	1.00	3671			45	1,874	2.40%	82	3671	2.22%
ディープラーニング ツール	1.00	144			1	23	4.35%	144	144	100.00%
画像認識 ai	9.00	656			39	1,432	2.72%	151	5902	23.08%
pythonとは	0.00	0			3	614	0.49%	210	631	0.00%
