Keyword	Conversions	Cost / conv.	Final URL	Mobile final URL	Clicks	Impr.	CTR	Avg. CPC	Cost	Conv. rate
見守り カメラ スマホ アプリ	1.00	7484			66	1,083	6.09%	113	7484	1.52%
mitene gps	149.28	499			599	8,202	7.30%	124	74422	24.92%
みて みまもり gps	1.00	559			2	40	5.00%	280	559	50.00%
アップル 見守り	18.32	1473			222	3,354	6.62%	122	26977	8.25%
キッズ 携帯 gps 比較	100.42	511			399	4,040	9.88%	129	51296	25.17%
ソニー 見守り gps	364.34	256			838	1,613	51.95%	111	93343	43.48%
見守り gps 無料	1.00	2021			17	208	8.17%	119	2021	5.88%
見守り アプリ と は	1.00	876			7	141	4.96%	125	876	14.29%
マモリーノ gps	0.00	0			2	51	3.92%	116	232	0.00%
キッズ 携帯 位置 確認	0.00	0			0	14	0.00%	0	0	0.00%
セコム 見守り アプリ	0.00	0			6	61	9.84%	103	617	0.00%
マチコミ 見守り	0.00	0			7	120	5.83%	123	859	0.00%
み もり 購入	0.00	0			0	4	0.00%	0	0	0.00%
キッズ 携帯 位置 情報 au	0.00	0			0	3	0.00%	0	0	0.00%
み もり 価格	0.00	0			0	5	0.00%	0	0	0.00%
キッズ 携帯 gps 無料	0.00	0			4	17	23.53%	220	878	0.00%
み もり キッズ 携帯	0.00	0			2	10	20.00%	268	535	0.00%
み もり 値段	0.00	0			2	45	4.44%	114	228	0.00%
みて ね みまもり gps 楽天	0.00	0			0	5	0.00%	0	0	0.00%
みて ね みまもり 口コミ	0.00	0			0	1	0.00%	0	0	0.00%
キッズ 携帯 gps 浮気 調査	0.00	0			1	5	20.00%	61	61	0.00%
見守り サービス み もり	0.00	0			0	8	0.00%	0	0	0.00%
みて ね みまもり gps 現在地	0.00	0			0	2	0.00%	0	0	0.00%
いつでも 見守り アプリ	0.00	0			0	18	0.00%	0	0	0.00%
小学生 防犯 グッズ gps	0.00	0			0	1	0.00%	0	0	0.00%
gps 子供	5,011.71	604			21,324	206,094	10.35%	142	3026859	23.50%
見守り アプリ	25.00	920			186	3,714	5.01%	124	22990	13.44%
キッズ gps	226.42	517			903	7,784	11.60%	130	117074	25.07%
ソフトバンク キッズ 携帯 gps	2.00	2125			45	1,193	3.77%	94	4249	4.44%
キッズ ケータイ gps	9.54	280			27	322	8.39%	99	2676	35.35%
android 見守り アプリ	3.00	356			9	173	5.20%	119	1067	33.33%
au gps 見守り	23.99	818			141	2,553	5.52%	139	19610	17.01%
キッズ 携帯 gps au	6.00	930			72	814	8.85%	77	5579	8.34%
離れ た 親 見守り アプリ	3.00	467			9	216	4.17%	156	1400	33.33%
キッズ 携帯 gps 機能	2.00	133			2	48	4.17%	133	266	100.00%
